Date,Ticker,Action,Price,Shares
2024-04-22,BEL.NS,SELL,232.534423828125,4
2024-04-23,WIPRO.NS,SELL,218.78929138183594,8603
2024-04-24,BEL.NS,BUY,231.79544067382812,4046
2024-04-24,SUNPHARMA.NS,BUY,1456.8013916015625,643
2024-04-25,BEL.NS,SELL,232.9285430908203,4046
2024-04-26,BPCL.NS,BUY,268.5816650390625,3499
2024-04-29,BPCL.NS,SELL,274.22265625,3499
2024-05-06,BEL.NS,BUY,231.64761352539062,4125
2024-05-07,BEL.NS,SELL,229.0858154296875,4125
2024-05-07,ADANIENT.NS,BUY,2887.388916015625,326
2024-05-08,ADANIENT.NS,SELL,2847.474365234375,326
2024-05-10,ADANIENT.NS,BUY,2792.47314453125,165
2024-05-10,LT.NS,BUY,3225.919189453125,143
2024-05-13,ADANIENT.NS,SELL,2800.516357421875,165
2024-05-16,ADANIPORTS.NS,BUY,1339.904296875,172
2024-05-16,APOLLOHOSP.NS,BUY,5857.37060546875,39
2024-05-21,BPCL.NS,BUY,280.933837890625,14
2024-05-22,BPCL.NS,SELL,289.80780029296875,14
2024-05-27,ADANIPORTS.NS,SELL,1431.860595703125,172
2024-05-27,BAJAJ-AUTO.NS,BUY,8708.71484375,28
2024-05-28,BAJAJ-AUTO.NS,SELL,8705.521484375,28
2024-05-29,BAJAJ-AUTO.NS,BUY,8658.408203125,28
2024-05-30,BAJAJ-AUTO.NS,SELL,8772.564453125,28
2024-05-30,ADANIPORTS.NS,BUY,1397.1787109375,179
2024-06-03,ADANIPORTS.NS,SELL,1534.914794921875,179
2024-06-03,HCLTECH.NS,SELL,1273.54638671875,1341
2024-06-03,BAJAJ-AUTO.NS,BUY,8880.916015625,222
2024-06-04,BAJAJ-AUTO.NS,SELL,8926.384765625,222
2024-06-04,LT.NS,SELL,3786.640869140625,143
2024-06-04,HCLTECH.NS,BUY,1249.4530029296875,1007
2024-06-04,POWERGRID.NS,BUY,313.4568176269531,4014
2024-06-05,BAJAJFINSV.NS,SELL,1488.33544921875,206
2024-06-05,ADANIPORTS.NS,BUY,1269.351806640625,48
2024-06-05,NTPC.NS,BUY,324.12384033203125,188
2024-06-05,ONGC.NS,BUY,222.51585388183594,274
2024-06-05,SBIN.NS,BUY,775.1845703125,78
2024-06-05,WIPRO.NS,BUY,206.08753967285156,296
2024-06-06,ADANIPORTS.NS,SELL,1371.4151611328125,48
2024-06-06,ONGC.NS,SELL,228.8219451904297,274
2024-06-06,POWERGRID.NS,SELL,283.9313049316406,4014
2024-06-06,BEL.NS,BUY,263.0791931152344,2403
2024-06-06,HINDALCO.NS,BUY,686.0076904296875,921
2024-06-07,BEL.NS,SELL,269.9764099121094,2403
2024-06-07,HINDALCO.NS,SELL,668.734130859375,921
2024-06-07,POWERGRID.NS,BUY,278.92462158203125,4517
2024-06-10,POWERGRID.NS,SELL,292.9153137207031,4517
2024-06-10,WIPRO.NS,SELL,228.91323852539062,296
